!Agilent Technologies,E4990A,MY54201856,A.02.20
!Date: Wed Feb 25 18:26:20 2026

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, |Z|(Ohm)-mem, theta-z(deg)-data, theta-z(deg)-mem
+3.27661785000e+004, +3.71461612463e+005, +3.69243018407e+005, +7.73999649967e+001, +7.68372293527e+001
+3.27661972500e+004, +3.73909549434e+005, +3.71885278883e+005, +7.74454967521e+001, +7.68930555970e+001
+3.27662160000e+004, +3.76823383933e+005, +3.74535762534e+005, +7.75116708895e+001, +7.69481997753e+001
+3.27662347500e+004, +3.79472006536e+005, +3.77194499185e+005, +7.75687388218e+001, +7.70026729230e+001
+3.27662535000e+004, +3.82108131384e+005, +3.79861518988e+005, +7.76128728824e+001, +7.70564858350e+001
+3.27662722500e+004, +3.84732602016e+005, +3.82536852416e+005, +7.76569004631e+001, +7.71096490714e+001
+3.27662910000e+004, +3.87539821125e+005, +3.85220530266e+005, +7.77324928928e+001, +7.71621729647e+001
+3.27663097500e+004, +3.90299426739e+005, +3.87912583652e+005, +7.77696601216e+001, +7.72140676249e+001
+3.27663285000e+004, +3.93067071702e+005, +3.90613044010e+005, +7.78383891479e+001, +7.72653429458e+001
+3.27663472500e+004, +3.95607683203e+005, +3.93321943093e+005, +7.78876513236e+001, +7.73160086106e+001
+3.27663660000e+004, +3.98460295617e+005, +3.96039312969e+005, +7.79580199509e+001, +7.73660740972e+001
+3.27663847500e+004, +4.01065621549e+005, +3.98765186024e+005, +7.79984039056e+001, +7.74155486836e+001
+3.27664035000e+004, +4.03936465510e+005, +4.01499594957e+005, +7.80263620124e+001, +7.74644414532e+001
+3.27664222500e+004, +4.06718506885e+005, +4.04242572782e+005, +7.80846216396e+001, +7.75127612993e+001
+3.27664410000e+004, +4.09332166039e+005, +4.06994152826e+005, +7.81530967006e+001, +7.75605169306e+001
+3.27664597500e+004, +4.12176430517e+005, +4.09754368729e+005, +7.81963293627e+001, +7.76077168753e+001
+3.27664785000e+004, +4.15017859664e+005, +4.12523254443e+005, +7.82214049153e+001, +7.76543694860e+001
+3.27664972500e+004, +4.17688374561e+005, +4.15300844233e+005, +7.82725974035e+001, +7.77004829439e+001
+3.27665160000e+004, +4.20476236256e+005, +4.18087172672e+005, +7.83417693183e+001, +7.77460652633e+001
+3.27665347500e+004, +4.23326250018e+005, +4.20882274648e+005, +7.83775821376e+001, +7.77911242953e+001
+3.27665535000e+004, +4.26121011502e+005, +4.23686185358e+005, +7.84485690647e+001, +7.78356677326e+001
+3.27665722500e+004, +4.28835925420e+005, +4.26498940310e+005, +7.84736023876e+001, +7.78797031125e+001
+3.27665910000e+004, +4.31728362922e+005, +4.29320575324e+005, +7.85310275280e+001, +7.79232378215e+001
+3.27666097500e+004, +4.34512196779e+005, +4.32151126529e+005, +7.85782481287e+001, +7.79662790984e+001
+3.27666285000e+004, +4.37515046188e+005, +4.34990630366e+005, +7.86333832555e+001, +7.80088340383e+001
+3.27666472500e+004, +4.40364816818e+005, +4.37839123586e+005, +7.86509031723e+001, +7.80509095957e+001
+3.27666660000e+004, +4.43234693339e+005, +4.40696643252e+005, +7.87020929421e+001, +7.80925125883e+001
+3.27666847500e+004, +4.46028971867e+005, +4.43563226739e+005, +7.87428191754e+001, +7.81336496998e+001
+3.27667035000e+004, +4.49003135398e+005, +4.46438911733e+005, +7.87984950560e+001, +7.81743274834e+001
+3.27667222500e+004, +4.51713524460e+005, +4.49323736233e+005, +7.88280695507e+001, +7.82145523650e+001
+3.27667410000e+004, +4.54799108541e+005, +4.52217738549e+005, +7.88897314558e+001, +7.82543306458e+001
+3.27667597500e+004, +4.57711545971e+005, +4.55120957309e+005, +7.89078749493e+001, +7.82936685056e+001
+3.27667785000e+004, +4.60656518414e+005, +4.58033431447e+005, +7.89489785074e+001, +7.83325720055e+001
+3.27667972500e+004, +4.63547144318e+005, +4.60955200219e+005, +7.90010905077e+001, +7.83710470906e+001
+3.27668160000e+004, +4.66562493466e+005, +4.63886303192e+005, +7.90734536938e+001, +7.84090995929e+001
+3.27668347500e+004, +4.69547661148e+005, +4.66826780252e+005, +7.90485702035e+001, +7.84467352335e+001
+3.27668535000e+004, +4.72395016905e+005, +4.69776671597e+005, +7.91314532841e+001, +7.84839596256e+001
+3.27668722500e+004, +4.75411248284e+005, +4.72736017748e+005, +7.91208008943e+001, +7.85207782768e+001
+3.27668910000e+004, +4.78429410746e+005, +4.75704859542e+005, +7.92291467387e+001, +7.85571965914e+001
+3.27669097500e+004, +4.81533217690e+005, +4.78683238135e+005, +7.92444661047e+001, +7.85932198729e+001
+3.27669285000e+004, +4.84562114136e+005, +4.81671195005e+005, +7.92697574660e+001, +7.86288533261e+001
+3.27669472500e+004, +4.87449277969e+005, +4.84668771951e+005, +7.93180553146e+001, +7.86641020595e+001
+3.27669660000e+004, +4.90347408650e+005, +4.87676011094e+005, +7.93429572365e+001, +7.86989710873e+001
+3.27669847500e+004, +4.93437536983e+005, +4.90692954880e+005, +7.94118763428e+001, +7.87334653316e+001
+3.27670035000e+004, +4.96428019339e+005, +4.93719646081e+005, +7.94393282342e+001, +7.87675896243e+001
+3.27670222500e+004, +4.99456933916e+005, +4.96756127792e+005, +7.94609653899e+001, +7.88013487095e+001
+3.27670410000e+004, +5.02754832189e+005, +4.99802443438e+005, +7.95043142637e+001, +7.88347472447e+001
+3.27670597500e+004, +5.05623426281e+005, +5.02858636775e+005, +7.95384932675e+001, +7.88677898035e+001
+3.27670785000e+004, +5.08927919172e+005, +5.05924751885e+005, +7.95822074159e+001, +7.89004808768e+001
+3.27670972500e+004, +5.11822778747e+005, +5.09000833186e+005, +7.96112121322e+001, +7.89328248750e+001
+3.27671160000e+004, +5.14959063818e+005, +5.12086925427e+005, +7.96445639950e+001, +7.89648261293e+001
+3.27671347500e+004, +5.18034746503e+005, +5.15183073691e+005, +7.96819498566e+001, +7.89964888940e+001
+3.27671535000e+004, +5.21468404033e+005, +5.18289323400e+005, +7.97161966217e+001, +7.90278173477e+001
+3.27671722500e+004, +5.24145579543e+005, +5.21405720314e+005, +7.97211757685e+001, +7.90588155949e+001
+3.27671910000e+004, +5.27478779215e+005, +5.24532310532e+005, +7.97840970371e+001, +7.90894876679e+001
+3.27672097500e+004, +5.30480058755e+005, +5.27669140493e+005, +7.98142654142e+001, +7.91198375281e+001
+3.27672285000e+004, +5.33915937993e+005, +5.30816256981e+005, +7.98699370686e+001, +7.91498690674e+001
+3.27672472500e+004, +5.36969989837e+005, +5.33973707124e+005, +7.98802680785e+001, +7.91795861097e+001
+3.27672660000e+004, +5.39914330878e+005, +5.37141538399e+005, +7.99141467078e+001, +7.92089924128e+001
+3.27672847500e+004, +5.43613798784e+005, +5.40319798629e+005, +7.99322897582e+001, +7.92380916689e+001
+3.27673035000e+004, +5.46714026317e+005, +5.43508535989e+005, +7.99534935319e+001, +7.92668875067e+001
+3.27673222500e+004, +5.49846610385e+005, +5.46707799006e+005, +7.99999692733e+001, +7.92953834923e+001
+3.27673410000e+004, +5.52920085316e+005, +5.49917636563e+005, +8.00642859791e+001, +7.93235831307e+001
+3.27673597500e+004, +5.56209801709e+005, +5.53138097898e+005, +8.00666788863e+001, +7.93514898668e+001
+3.27673785000e+004, +5.59398143257e+005, +5.56369232609e+005, +8.01006850779e+001, +7.93791070868e+001
+3.27673972500e+004, +5.62945988387e+005, +5.59611090652e+005, +8.01397682236e+001, +7.94064381197e+001
+3.27674160000e+004, +5.65892580215e+005, +5.62863722350e+005, +8.01525902914e+001, +7.94334862376e+001
+3.27674347500e+004, +5.69234375423e+005, +5.66127178388e+005, +8.02124458213e+001, +7.94602546577e+001
+3.27674535000e+004, +5.72588786851e+005, +5.69401509822e+005, +8.02324084726e+001, +7.94867465429e+001
+3.27674722500e+004, +5.75686136459e+005, +5.72686768075e+005, +8.02497940745e+001, +7.95129650031e+001
+3.27674910000e+004, +5.79465742945e+005, +5.75983004939e+005, +8.02566735558e+001, +7.95389130961e+001
+3.27675097500e+004, +5.82215278668e+005, +5.79290272587e+005, +8.03254230550e+001, +7.95645938289e+001
+3.27675285000e+004, +5.85880961484e+005, +5.82608623564e+005, +8.03265504198e+001, +7.95900101582e+001
+3.27675472500e+004, +5.89135170256e+005, +5.85938110797e+005, +8.03755900642e+001, +7.96151649919e+001
+3.27675660000e+004, +5.92328852041e+005, +5.89278787593e+005, +8.03596085231e+001, +7.96400611898e+001
+3.27675847500e+004, +5.95894973197e+005, +5.92630707644e+005, +8.04300535890e+001, +7.96647015646e+001
+3.27676035000e+004, +5.99276586063e+005, +5.95993925028e+005, +8.04406934558e+001, +7.96890888826e+001
+3.27676222500e+004, +6.02495537774e+005, +5.99368494212e+005, +8.04612537188e+001, +7.97132258650e+001
+3.27676410000e+004, +6.06078606574e+005, +6.02754470058e+005, +8.05101252814e+001, +7.97371151883e+001
+3.27676597500e+004, +6.09412822517e+005, +6.06151907819e+005, +8.05304758758e+001, +7.97607594856e+001
+3.27676785000e+004, +6.12873568630e+005, +6.09560863146e+005, +8.06037047358e+001, +7.97841613471e+001
+3.27676972500e+004, +6.16366164579e+005, +6.12981392094e+005, +8.05819964417e+001, +7.98073233209e+001
+3.27677160000e+004, +6.19569070404e+005, +6.16413551115e+005, +8.06320001919e+001, +7.98302479142e+001
+3.27677347500e+004, +6.23573198554e+005, +6.19857397071e+005, +8.06374005409e+001, +7.98529375935e+001
+3.27677535000e+004, +6.26953132008e+005, +6.23312987232e+005, +8.06410952519e+001, +7.98753947858e+001
+3.27677722500e+004, +6.30289721206e+005, +6.26780379279e+005, +8.06590213969e+001, +7.98976218790e+001
+3.27677910000e+004, +6.33768605339e+005, +6.30259631308e+005, +8.07167908969e+001, +7.99196212229e+001
+3.27678097500e+004, +6.37023052762e+005, +6.33750801832e+005, +8.07294586557e+001, +7.99413951299e+001
+3.27678285000e+004, +6.40722875205e+005, +6.37253949783e+005, +8.07924698846e+001, +7.99629458753e+001
+3.27678472500e+004, +6.44042262400e+005, +6.40769134523e+005, +8.07759738934e+001, +7.99842756984e+001
+3.27678660000e+004, +6.48174745750e+005, +6.44296415831e+005, +8.08213236585e+001, +8.00053868032e+001
+3.27678847500e+004, +6.51286088824e+005, +6.47835853926e+005, +8.08332118813e+001, +8.00262813584e+001
+3.27679035000e+004, +6.54833407343e+005, +6.51387509454e+005, +8.08279120489e+001, +8.00469614988e+001
+3.27679222500e+004, +6.58524048393e+005, +6.54951443499e+005, +8.08927838682e+001, +8.00674293256e+001
+3.27679410000e+004, +6.62163132175e+005, +6.58527717586e+005, +8.08779640431e+001, +8.00876869069e+001
+3.27679597500e+004, +6.65916767366e+005, +6.62116393682e+005, +8.09446002555e+001, +8.01077362783e+001
+3.27679785000e+004, +6.69146976245e+005, +6.65717534200e+005, +8.09495359104e+001, +8.01275794437e+001
+3.27679972500e+004, +6.72592118716e+005, +6.69331202002e+005, +8.09643237373e+001, +8.01472183755e+001
+3.27680160000e+004, +6.76428633790e+005, +6.72957460409e+005, +8.10070965115e+001, +8.01666550158e+001
+3.27680347500e+004, +6.80047243122e+005, +6.76596373191e+005, +8.10387953385e+001, +8.01858912759e+001
+3.27680535000e+004, +6.84103150708e+005, +6.80248004585e+005, +8.10544094047e+001, +8.02049290380e+001
+3.27680722500e+004, +6.87806963548e+005, +6.83912419289e+005, +8.10749385691e+001, +8.02237701546e+001
+3.27680910000e+004, +6.91198674966e+005, +6.87589682469e+005, +8.10951816368e+001, +8.02424164501e+001
+3.27681097500e+004, +6.94935251214e+005, +6.91279859764e+005, +8.11505984336e+001, +8.02608697202e+001
+3.27681285000e+004, +6.98923649429e+005, +6.94983017282e+005, +8.11271300063e+001, +8.02791317332e+001
+3.27681472500e+004, +7.02129581817e+005, +6.98699221623e+005, +8.11273910664e+001, +8.02972042302e+001
+3.27681660000e+004, +7.06425949475e+005, +7.02428539855e+005, +8.11828084573e+001, +8.03150889255e+001
+3.27681847500e+004, +7.10019836516e+005, +7.06171039544e+005, +8.11915032788e+001, +8.03327875071e+001
+3.27682035000e+004, +7.13826713338e+005, +7.09926788741e+005, +8.12437630065e+001, +8.03503016370e+001
+3.27682222500e+004, +7.17645220931e+005, +7.13695855990e+005, +8.12537876752e+001, +8.03676329520e+001
+3.27682410000e+004, +7.21037474067e+005, +7.17478310341e+005, +8.12753807345e+001, +8.03847830637e+001
+3.27682597500e+004, +7.25384371843e+005, +7.21274221337e+005, +8.13107052918e+001, +8.04017535593e+001
+3.27682785000e+004, +7.29159831829e+005, +7.25083659039e+005, +8.12988488254e+001, +8.04185460016e+001
+3.27682972500e+004, +7.32649064058e+005, +7.28906694010e+005, +8.13299160454e+001, +8.04351619298e+001
+3.27683160000e+004, +7.36348979879e+005, +7.32743397331e+005, +8.13719272703e+001, +8.04516028595e+001
+3.27683347500e+004, +7.40390629196e+005, +7.36593840604e+005, +8.14014748373e+001, +8.04678702835e+001
+3.27683535000e+004, +7.44292412052e+005, +7.40458095951e+005, +8.13995927360e+001, +8.04839656718e+001
+3.27683722500e+004, +7.47866891763e+005, +7.44336236030e+005, +8.13723676389e+001, +8.04998904722e+001
+3.27683910000e+004, +7.51897919045e+005, +7.48228334025e+005, +8.14318741292e+001, +8.05156461105e+001
+3.27684097500e+004, +7.56206183058e+005, +7.52134463656e+005, +8.14426880711e+001, +8.05312339908e+001
+3.27684285000e+004, +7.60202934119e+005, +7.56054699191e+005, +8.14950108494e+001, +8.05466554964e+001
+3.27684472500e+004, +7.64128284542e+005, +7.59989115437e+005, +8.15368514087e+001, +8.05619119891e+001
+3.27684660000e+004, +7.68041939943e+005, +7.63937787761e+005, +8.15138266701e+001, +8.05770048106e+001
+3.27684847500e+004, +7.72220260976e+005, +7.67900792078e+005, +8.15534542531e+001, +8.05919352823e+001
+3.27685035000e+004, +7.76004852649e+005, +7.71878204864e+005, +8.15591582933e+001, +8.06067047053e+001
+3.27685222500e+004, +7.80248779688e+005, +7.75870103165e+005, +8.16000912007e+001, +8.06213143615e+001
+3.27685410000e+004, +7.84386527725e+005, +7.79876564593e+005, +8.16008481541e+001, +8.06357655132e+001
+3.27685597500e+004, +7.87933461191e+005, +7.83897667337e+005, +8.16145770656e+001, +8.06500594038e+001
+3.27685785000e+004, +7.91900067677e+005, +7.87933490164e+005, +8.16770252173e+001, +8.06641972579e+001
+3.27685972500e+004, +7.96357941847e+005, +7.91984112426e+005, +8.16776817363e+001, +8.06781802818e+001
+3.27686160000e+004, +8.00134694643e+005, +7.96049614070e+005, +8.16514452819e+001, +8.06920096633e+001
+3.27686347500e+004, +8.04881326251e+005, +8.00130075631e+005, +8.16885805519e+001, +8.07056865726e+001
+3.27686535000e+004, +8.08383775728e+005, +8.04225578252e+005, +8.17113399559e+001, +8.07192121622e+001
+3.27686722500e+004, +8.12594931929e+005, +8.08336203675e+005, +8.17372998630e+001, +8.07325875672e+001
+3.27686910000e+004, +8.16864523042e+005, +8.12462034254e+005, +8.17514318029e+001, +8.07458139054e+001
+3.27687097500e+004, +8.21184046330e+005, +8.16603152966e+005, +8.17657513242e+001, +8.07588922781e+001
+3.27687285000e+004, +8.25507909870e+005, +8.20759643403e+005, +8.17655257312e+001, +8.07718237696e+001
+3.27687472500e+004, +8.29370398529e+005, +8.24931589789e+005, +8.18009921038e+001, +8.07846094481e+001
+3.27687660000e+004, +8.33156140311e+005, +8.29119076978e+005, +8.18538152619e+001, +8.07972503655e+001
+3.27687847500e+004, +8.37739866656e+005, +8.33322190463e+005, +8.18211468999e+001, +8.08097475579e+001
+3.27688035000e+004, +8.42138262022e+005, +8.37541016386e+005, +8.18472628542e+001, +8.08221020457e+001
+3.27688222500e+004, +8.46481685212e+005, +8.41775641533e+005, +8.18742891838e+001, +8.08343148337e+001
+3.27688410000e+004, +8.51170850037e+005, +8.46026153348e+005, +8.18907170940e+001, +8.08463869117e+001
+3.27688597500e+004, +8.55133948356e+005, +8.50292639943e+005, +8.19335444599e+001, +8.08583192542e+001
+3.27688785000e+004, +8.59600173277e+005, +8.54575190088e+005, +8.19197725417e+001, +8.08701128211e+001
+3.27688972500e+004, +8.63058883442e+005, +8.58873893237e+005, +8.19595014554e+001, +8.08817685577e+001
+3.27689160000e+004, +8.67648806530e+005, +8.63188839517e+005, +8.19157852060e+001, +8.08932873946e+001
+3.27689347500e+004, +8.71777875062e+005, +8.67520119745e+005, +8.19771145808e+001, +8.09046702484e+001
+3.27689535000e+004, +8.76428322973e+005, +8.71867825434e+005, +8.20025451481e+001, +8.09159180219e+001
+3.27689722500e+004, +8.81379828430e+005, +8.76232048785e+005, +8.19979686047e+001, +8.09270316036e+001
+3.27689910000e+004, +8.84945644110e+005, +8.80612882721e+005, +8.20006381961e+001, +8.09380118686e+001
+3.27690097500e+004, +8.90086582182e+005, +8.85010420861e+005, +8.20070315933e+001, +8.09488596787e+001
+3.27690285000e+004, +8.93382833869e+005, +8.89424757554e+005, +8.20758397320e+001, +8.09595758821e+001
+3.27690472500e+004, +8.98301446196e+005, +8.93855987870e+005, +8.20645200401e+001, +8.09701613141e+001
+3.27690660000e+004, +9.03243294737e+005, +8.98304207609e+005, +8.20367596714e+001, +8.09806167970e+001
+3.27690847500e+004, +9.07282207879e+005, +9.02769513317e+005, +8.21226884498e+001, +8.09909431403e+001
+3.27691035000e+004, +9.12370988888e+005, +9.07252002279e+005, +8.21157913609e+001, +8.10011411409e+001
+3.27691222500e+004, +9.16622607672e+005, +9.11751772534e+005, +8.21044899897e+001, +8.10112115835e+001
+3.27691410000e+004, +9.20733211819e+005, +9.16268922885e+005, +8.21400108778e+001, +8.10211552400e+001
+3.27691597500e+004, +9.26352453518e+005, +9.20803552897e+005, +8.21365416071e+001, +8.10309728707e+001
+3.27691785000e+004, +9.29952648981e+005, +9.25355762914e+005, +8.21752288875e+001, +8.10406652237e+001
+3.27691972500e+004, +9.34858209462e+005, +9.29925654059e+005, +8.21735255202e+001, +8.10502330352e+001
+3.27692160000e+004, +9.39305546471e+005, +9.34513328241e+005, +8.21969726813e+001, +8.10596770298e+001
+3.27692347500e+004, +9.44579089814e+005, +9.39118888173e+005, +8.22227733744e+001, +8.10689979207e+001
+3.27692535000e+004, +9.48130309407e+005, +9.43742437365e+005, +8.22698192488e+001, +8.10781964094e+001
+3.27692722500e+004, +9.52862581915e+005, +9.48384080145e+005, +8.21873467117e+001, +8.10872731864e+001
+3.27692910000e+004, +9.58041467502e+005, +9.53043921654e+005, +8.22468923738e+001, +8.10962289310e+001
+3.27693097500e+004, +9.62555084756e+005, +9.57722067865e+005, +8.22382670999e+001, +8.11050643114e+001
+3.27693285000e+004, +9.68499064579e+005, +9.62418625586e+005, +8.22523134497e+001, +8.11137799852e+001
+3.27693472500e+004, +9.72748449413e+005, +9.67133702465e+005, +8.22891854055e+001, +8.11223765991e+001
+3.27693660000e+004, +9.76621671553e+005, +9.71867407009e+005, +8.22810820331e+001, +8.11308547891e+001
+3.27693847500e+004, +9.81760953098e+005, +9.76619848576e+005, +8.23737478173e+001, +8.11392151808e+001
+3.27694035000e+004, +9.86656963561e+005, +9.81391137396e+005, +8.23417363622e+001, +8.11474583895e+001
+3.27694222500e+004, +9.92291948388e+005, +9.86181384577e+005, +8.23742224398e+001, +8.11555850203e+001
+3.27694410000e+004, +9.96134381800e+005, +9.90990702108e+005, +8.23332769835e+001, +8.11635956679e+001
+3.27694597500e+004, +1.00144653967e+006, +9.95819202879e+005, +8.23468354684e+001, +8.11714909172e+001
+3.27694785000e+004, +1.00613031707e+006, +1.00066700068e+006, +8.24167722984e+001, +8.11792713432e+001
+3.27694972500e+004, +1.01118920806e+006, +1.00553421020e+006, +8.24232273837e+001, +8.11869375109e+001
+3.27695160000e+004, +1.01640557120e+006, +1.01042094706e+006, +8.23723692913e+001, +8.11944899758e+001
+3.27695347500e+004, +1.02060036279e+006, +1.01532732782e+006, +8.24493407136e+001, +8.12019292838e+001
+3.27695535000e+004, +1.02614056741e+006, +1.02025346996e+006, +8.24197451934e+001, +8.12092559711e+001
+3.27695722500e+004, +1.03039680769e+006, +1.02519949192e+006, +8.24815597782e+001, +8.12164705647e+001
+3.27695910000e+004, +1.03622227275e+006, +1.03016551309e+006, +8.24431194408e+001, +8.12235735822e+001
+3.27696097500e+004, +1.04032443947e+006, +1.03515165383e+006, +8.24260802555e+001, +8.12305655322e+001
+3.27696285000e+004, +1.04561737244e+006, +1.04015803547e+006, +8.24755533795e+001, +8.12374469139e+001
+3.27696472500e+004, +1.05042825858e+006, +1.04518478034e+006, +8.24821494309e+001, +8.12442182176e+001
+3.27696660000e+004, +1.05523644069e+006, +1.05023201175e+006, +8.24519021355e+001, +8.12508799249e+001
+3.27696847500e+004, +1.06041701603e+006, +1.05529985403e+006, +8.25035284218e+001, +8.12574325081e+001
+3.27697035000e+004, +1.06507239274e+006, +1.06038843253e+006, +8.25732776264e+001, +8.12638764311e+001
+3.27697222500e+004, +1.07118462528e+006, +1.06549787359e+006, +8.25261175324e+001, +8.12702121492e+001
+3.27697410000e+004, +1.07709251435e+006, +1.07062830464e+006, +8.26200125235e+001, +8.12764401086e+001
+3.27697597500e+004, +1.08189771958e+006, +1.07577985412e+006, +8.26002656998e+001, +8.12825607477e+001
+3.27697785000e+004, +1.08745704462e+006, +1.08095265154e+006, +8.25730523577e+001, +8.12885744958e+001
+3.27697972500e+004, +1.09155322953e+006, +1.08614682747e+006, +8.26061153675e+001, +8.12944817744e+001
+3.27698160000e+004, +1.09675435326e+006, +1.09136251357e+006, +8.25503719031e+001, +8.13002829963e+001
+3.27698347500e+004, +1.10245045749e+006, +1.09659984260e+006, +8.26550424890e+001, +8.13059785663e+001
+3.27698535000e+004, +1.10828435693e+006, +1.10185894839e+006, +8.26502398395e+001, +8.13115688811e+001
+3.27698722500e+004, +1.11238069957e+006, +1.10713996591e+006, +8.26605540371e+001, +8.13170543293e+001
+3.27698910000e+004, +1.11903680442e+006, +1.11244303125e+006, +8.26457158562e+001, +8.13224352914e+001
+3.27699097500e+004, +1.12391257963e+006, +1.11776828162e+006, +8.26646600036e+001, +8.13277121401e+001
+3.27699285000e+004, +1.12873534044e+006, +1.12311585541e+006, +8.26571887779e+001, +8.13328852401e+001
+3.27699472500e+004, +1.13401019643e+006, +1.12848589213e+006, +8.26783170410e+001, +8.13379549485e+001
+3.27699660000e+004, +1.14037197688e+006, +1.13387853249e+006, +8.27045938543e+001, +8.13429216146e+001
+3.27699847500e+004, +1.14547199064e+006, +1.13929391837e+006, +8.27371806577e+001, +8.13477855799e+001
+3.27700035000e+004, +1.15136368577e+006, +1.14473219285e+006, +8.27068271742e+001, +8.13525471783e+001
+3.27700222500e+004, +1.15587993162e+006, +1.15019350023e+006, +8.27040312101e+001, +8.13572067363e+001
+3.27700410000e+004, +1.16164525140e+006, +1.15567798601e+006, +8.27607926713e+001, +8.13617645729e+001
+3.27700597500e+004, +1.16677352161e+006, +1.16118579694e+006, +8.27089070020e+001, +8.13662209993e+001
+3.27700785000e+004, +1.17361127300e+006, +1.16671708101e+006, +8.27643568534e+001, +8.13705763199e+001
+3.27700972500e+004, +1.17866792042e+006, +1.17227198748e+006, +8.27694073333e+001, +8.13748308311e+001
+3.27701160000e+004, +1.18335015495e+006, +1.17785066686e+006, +8.28089948995e+001, +8.13789848226e+001
+3.27701347500e+004, +1.19020021071e+006, +1.18345327098e+006, +8.28222815190e+001, +8.13830385765e+001
+3.27701535000e+004, +1.19574547797e+006, +1.18907995293e+006, +8.27496136714e+001, +8.13869923678e+001
+3.27701722500e+004, +1.20115898036e+006, +1.19473086716e+006, +8.27987500004e+001, +8.13908464643e+001
+3.27701910000e+004, +1.20865744176e+006, +1.20040616941e+006, +8.27678659894e+001, +8.13946011269e+001
+3.27702097500e+004, +1.21138465107e+006, +1.20610601679e+006, +8.27506331606e+001, +8.13982566092e+001
+3.27702285000e+004, +1.21861713956e+006, +1.21183056776e+006, +8.28616743899e+001, +8.14018131579e+001
+3.27702472500e+004, +1.22419725218e+006, +1.21757998212e+006, +8.28493794774e+001, +8.14052710128e+001
+3.27702660000e+004, +1.23079970086e+006, +1.22335442111e+006, +8.28516345963e+001, +8.14086304066e+001
+3.27702847500e+004, +1.23539298516e+006, +1.22915404733e+006, +8.28643393534e+001, +8.14118915653e+001
+3.27703035000e+004, +1.24269386934e+006, +1.23497902481e+006, +8.28900531016e+001, +8.14150547079e+001
+3.27703222500e+004, +1.24696290436e+006, +1.24082951902e+006, +8.28797102015e+001, +8.14181200466e+001
+3.27703410000e+004, +1.25450318924e+006, +1.24670569686e+006, +8.28881561944e+001, +8.14210877869e+001
+3.27703597500e+004, +1.25875717775e+006, +1.25260772671e+006, +8.29000933968e+001, +8.14239581274e+001
+3.27703785000e+004, +1.26537696143e+006, +1.25853577841e+006, +8.29696405514e+001, +8.14267312603e+001
+3.27703972500e+004, +1.27199873633e+006, +1.26449002331e+006, +8.29027917013e+001, +8.14294073707e+001
+3.27704160000e+004, +1.27811317504e+006, +1.27047063427e+006, +8.29272500861e+001, +8.14319866374e+001
+3.27704347500e+004, +1.28321501633e+006, +1.27647778567e+006, +8.29699195255e+001, +8.14344692325e+001
+3.27704535000e+004, +1.29006311269e+006, +1.28251165344e+006, +8.29319700434e+001, +8.14368553212e+001
+3.27704722500e+004, +1.29612481346e+006, +1.28857241507e+006, +8.29865191993e+001, +8.14391450626e+001
+3.27704910000e+004, +1.30221941284e+006, +1.29466024963e+006, +8.29036241390e+001, +8.14413386090e+001
+3.27705097500e+004, +1.30922599601e+006, +1.30077533778e+006, +8.30395813878e+001, +8.14434361062e+001
+3.27705285000e+004, +1.31494225618e+006, +1.30691786180e+006, +8.30249643009e+001, +8.14454376936e+001
+3.27705472500e+004, +1.32099275512e+006, +1.31308800561e+006, +8.30257950376e+001, +8.14473435040e+001
+3.27705660000e+004, +1.32774007466e+006, +1.31928595476e+006, +8.29867889512e+001, +8.14491536640e+001
+3.27705847500e+004, +1.33195940469e+006, +1.32551189648e+006, +8.30334365748e+001, +8.14508682934e+001
+3.27706035000e+004, +1.34062135801e+006, +1.33176601969e+006, +8.30022786954e+001, +8.14524875060e+001
+3.27706222500e+004, +1.34465323299e+006, +1.33804851501e+006, +8.30478767293e+001, +8.14540114089e+001
+3.27706410000e+004, +1.35193345591e+006, +1.34435957480e+006, +8.30452409221e+001, +8.14554401031e+001
+3.27706597500e+004, +1.35863868736e+006, +1.35069939313e+006, +8.30491971489e+001, +8.14567736830e+001
+3.27706785000e+004, +1.36573794276e+006, +1.35706816587e+006, +8.30354399443e+001, +8.14580122368e+001
+3.27706972500e+004, +1.37180262481e+006, +1.36346609066e+006, +8.31043352524e+001, +8.14591558464e+001
+3.27707160000e+004, +1.37719843273e+006, +1.36989336694e+006, +8.31154451268e+001, +8.14602045873e+001
+3.27707347500e+004, +1.38601632055e+006, +1.37635019599e+006, +8.31400479776e+001, +8.14611585288e+001
+3.27707535000e+004, +1.39216697472e+006, +1.38283678091e+006, +8.30341285012e+001, +8.14620177339e+001
+3.27707722500e+004, +1.39645775377e+006, +1.38935332670e+006, +8.31366775769e+001, +8.14627822593e+001
+3.27707910000e+004, +1.40464950359e+006, +1.39590004022e+006, +8.31481166807e+001, +8.14634521554e+001
+3.27708097500e+004, +1.41066988102e+006, +1.40247713025e+006, +8.31845136514e+001, +8.14640274664e+001
+3.27708285000e+004, +1.41790734893e+006, +1.40908480752e+006, +8.31907663121e+001, +8.14645082303e+001
+3.27708472500e+004, +1.42433696702e+006, +1.41572328467e+006, +8.31364224435e+001, +8.14648944787e+001
+3.27708660000e+004, +1.43009023864e+006, +1.42239277636e+006, +8.32148135598e+001, +8.14651862371e+001
+3.27708847500e+004, +1.43749016146e+006, +1.42909349922e+006, +8.31476468729e+001, +8.14653835248e+001
